"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 07 12:23:24 GMT 2021","Tue Sep 07 12:24:18 GMT 2021","54203","docs.testcases","test_CON_TC27_DataDelete","","","","test_CON_TC27_DataDelete",""
"passed","Tue Sep 07 12:22:20 GMT 2021","Tue Sep 07 12:22:40 GMT 2021","20008","docs.testcases","test_CON_TC23_Pages","","","","test_CON_TC23_Pages",""
"passed","Tue Sep 07 12:21:15 GMT 2021","Tue Sep 07 12:21:26 GMT 2021","10948","docs.testcases","test_CON_TC03_Logout","","","","test_CON_TC03_Logout",""
"passed","Tue Sep 07 12:20:17 GMT 2021","Tue Sep 07 12:20:59 GMT 2021","42279","docs.testcases","test_CON_TC01_Reg","","","","test_CON_TC01_Reg",""
"passed","Tue Sep 07 12:21:26 GMT 2021","Tue Sep 07 12:21:52 GMT 2021","26339","docs.testcases","test_CON_TC05_NewPost","","","","test_CON_TC05_NewPost",""
"passed","Tue Sep 07 12:22:50 GMT 2021","Tue Sep 07 12:23:01 GMT 2021","10132","docs.testcases","test_CON_TC25_DataBackup","","","","test_CON_TC25_DataBackup",""
"passed","Tue Sep 07 12:22:40 GMT 2021","Tue Sep 07 12:22:50 GMT 2021","9947","docs.testcases","test_CON_TC24_DataList","","","","test_CON_TC24_DataList",""
"passed","Tue Sep 07 12:24:18 GMT 2021","Tue Sep 07 12:26:20 GMT 2021","121880","docs.testcases","test_CON_TC28_ManyArticle","","","","test_CON_TC28_ManyArticle",""
"passed","Tue Sep 07 12:21:52 GMT 2021","Tue Sep 07 12:22:20 GMT 2021","28247","docs.testcases","test_CON_TC22_Cookie","","","","test_CON_TC22_Cookie",""
"passed","Tue Sep 07 12:20:59 GMT 2021","Tue Sep 07 12:21:15 GMT 2021","16011","docs.testcases","test_CON_TC02_Login","","","","test_CON_TC02_Login",""
"passed","Tue Sep 07 12:23:01 GMT 2021","Tue Sep 07 12:23:24 GMT 2021","23108","docs.testcases","test_CON_TC26_DataModify","","","","test_CON_TC26_DataList",""
