"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 13:47:58 GMT 2021","Thu Aug 05 13:48:15 GMT 2021","16818","docs.testcases","test_CON_TC02_Login","","","","test_CON_TC02_Login",""
"passed","Thu Aug 05 13:49:57 GMT 2021","Thu Aug 05 13:50:19 GMT 2021","22005","docs.testcases","test_CON_TC26_DataModify","","","","test_CON_TC26_DataList",""
"passed","Thu Aug 05 13:49:18 GMT 2021","Thu Aug 05 13:49:37 GMT 2021","18961","docs.testcases","test_CON_TC23_Pages","","","","test_CON_TC23_Pages",""
"passed","Thu Aug 05 13:49:47 GMT 2021","Thu Aug 05 13:49:57 GMT 2021","10037","docs.testcases","test_CON_TC25_DataBackup","","","","test_CON_TC25_DataBackup",""
"passed","Thu Aug 05 13:48:25 GMT 2021","Thu Aug 05 13:48:50 GMT 2021","25287","docs.testcases","test_CON_TC05_NewPost","","","","test_CON_TC05_NewPost",""
"passed","Thu Aug 05 13:48:15 GMT 2021","Thu Aug 05 13:48:25 GMT 2021","9906","docs.testcases","test_CON_TC03_Logout","","","","test_CON_TC03_Logout",""
"passed","Thu Aug 05 13:47:25 GMT 2021","Thu Aug 05 13:47:58 GMT 2021","33182","docs.testcases","test_CON_TC01_Reg","","","","test_CON_TC01_Reg",""
"passed","Thu Aug 05 13:50:19 GMT 2021","Thu Aug 05 13:51:13 GMT 2021","53960","docs.testcases","test_CON_TC27_DataDelete","","","","test_CON_TC27_DataDelete",""
"passed","Thu Aug 05 13:49:37 GMT 2021","Thu Aug 05 13:49:47 GMT 2021","9872","docs.testcases","test_CON_TC24_DataList","","","","test_CON_TC24_DataList",""
"passed","Thu Aug 05 13:48:50 GMT 2021","Thu Aug 05 13:49:18 GMT 2021","28302","docs.testcases","test_CON_TC22_Cookie","","","","test_CON_TC22_Cookie",""
"passed","Thu Aug 05 13:51:13 GMT 2021","Thu Aug 05 13:53:15 GMT 2021","122260","docs.testcases","test_CON_TC28_ManyArticle","","","","test_CON_TC28_ManyArticle",""
